query_file,ground_truth_pid,predicted_pid,ground_truth_rank,top_similarity,correct_rank1
8348.jpg,8348,15242,690,0.6732,False
835.jpg,835,15242,690,0.6015,False
837.jpg,837,28358,690,0.6712,False
8395.jpg,8395,2835,690,0.632,False
84.jpg,84,11907,690,0.63,False
8438.jpg,8438,28409,690,0.7025,False
8458.jpg,8458,23842,690,0.6556,False
8491.jpg,8491,23333,690,0.6494,False
8605.jpg,8605,13448,690,0.6056,False
8686.jpg,8686,23884,690,0.6699,False
8694.jpg,8694,11907,690,0.5343,False
8799.jpg,8799,23259,690,0.6123,False
8806.jpg,8806,27923,690,0.569,False
8828.jpg,8828,23702,690,0.7342,False
887.jpg,887,20474,690,0.5651,False
8929.jpg,8929,28358,690,0.6463,False
9020.jpg,9020,m-082,690,0.5986,False
9037.jpg,9037,29316,690,0.6639,False
9059.jpg,9059,23702,690,0.7737,False
9082.jpg,9082,22477,690,0.6789,False
9106.jpg,9106,15242,690,0.7038,False
9148.jpg,9148,14189,690,0.7264,False
9262.jpg,9262,18382,690,0.7068,False
9286.jpg,9286,m-029,690,0.5621,False
9304.jpg,9304,17279,690,0.5624,False
9308.jpg,9308,28358,690,0.6541,False
9329.jpg,9329,14499,690,0.7166,False
935.jpg,935,23293,690,0.6074,False
9402.jpg,9402,29523,690,0.6922,False
941.jpg,941,23910,690,0.5987,False
9421.jpg,9421,16441,690,0.6404,False
9454.jpg,9454,1701,690,0.6431,False
9457.jpg,9457,11907,690,0.6837,False
9505.jpg,9505,29574,690,0.6573,False
9509.jpg,9509,11907,690,0.6339,False
9515.jpg,9515,17279,690,0.6249,False
9569.jpg,9569,11907,690,0.7869,False
9612.jpg,9612,11907,690,0.6836,False
9619.jpg,9619,23111,690,0.683,False
9677.jpg,9677,23702,690,0.7727,False
9681.jpg,9681,26906,690,0.7175,False
9826.jpg,9826,19054,690,0.6604,False
987.jpg,987,26906,690,0.7279,False
9970.jpg,9970,20474,690,0.583,False
